date,close,high,low,open,volume,adjClose
2017-06-23 00:00:00+00:00,146.28,147.16,145.11,145.13,25997976,34.81095219
2017-06-26 00:00:00+00:00,145.82,148.28,145.38,147.17,25524661,34.70148379
2017-06-27 00:00:00+00:00,143.73,146.16,143.62,145.01,24423643,34.20411648
2017-06-28 00:00:00+00:00,145.83,146.11,143.1601,144.49,21915939,34.70386353
2017-06-29 00:00:00+00:00,143.68,145.13,142.28,144.71,31116980,34.19221774
2017-06-30 00:00:00+00:00,144.02,144.96,143.78,144.45,22328979,34.27312917
2017-07-03 00:00:00+00:00,143.5,145.3,143.1,144.88,14258300,34.14938228
2017-07-05 00:00:00+00:00,144.09,144.79,142.7237,143.69,20758795,34.2897874
2017-07-06 00:00:00+00:00,142.73,143.5,142.41,143.02,23374374,33.96614169
2017-07-07 00:00:00+00:00,144.18,144.75,142.9,142.9,18505351,34.31120513
2017-07-10 00:00:00+00:00,145.06,145.95,143.37,144.11,21030466,34.52062295
2017-07-11 00:00:00+00:00,145.53,145.85,144.38,144.73,18311156,34.6324711
2017-07-12 00:00:00+00:00,145.74,146.18,144.82,145.87,23617964,34.6824458
2017-07-13 00:00:00+00:00,147.77,148.49,145.44,145.5,24922788,35.16553463
2017-07-14 00:00:00+00:00,149.04,149.33,147.33,147.97,19961788,35.46776261
2017-07-17 00:00:00+00:00,149.56,150.9,148.57,148.82,23243713,35.5915095
2017-07-18 00:00:00+00:00,150.08,150.13,148.67,149.2,17713795,35.71525639
2017-07-19 00:00:00+00:00,151.02,151.42,149.95,150.48,20615419,35.93895269
2017-07-20 00:00:00+00:00,150.34,151.74,150.19,151.5,17053326,35.77712984
2017-07-21 00:00:00+00:00,150.27,150.44,148.88,149.99,24671002,35.7604716
2017-07-24 00:00:00+00:00,152.09,152.44,149.9,150.58,21122730,36.19358572
2017-07-25 00:00:00+00:00,152.74,153.84,151.8,151.8,18612649,36.34826933
2017-07-26 00:00:00+00:00,153.46,153.93,153.06,153.35,15172136,36.51961118
2017-07-27 00:00:00+00:00,150.56,153.99,147.3,153.75,32175875,35.82948429
2017-07-28 00:00:00+00:00,149.5,150.23,149.19,149.89,16832947,35.57723101
2017-07-31 00:00:00+00:00,148.73,150.33,148.13,149.9,19422655,35.39399042
2017-08-01 00:00:00+00:00,150.05,150.22,148.41,149.1,24725526,35.70811715
2017-08-02 00:00:00+00:00,157.14,159.75,156.16,159.28,69222793,37.3953584
2017-08-03 00:00:00+00:00,155.57,157.21,155.02,157.05,26000738,37.02173798
2017-08-04 00:00:00+00:00,156.39,157.4,155.69,156.07,20349532,37.21687731
2017-08-07 00:00:00+00:00,158.81,158.92,156.6701,157.06,21870321,37.7927763
2017-08-08 00:00:00+00:00,160.08,161.83,158.27,158.6,35775675,38.09500428
2017-08-09 00:00:00+00:00,161.059998,161.27,159.11,159.26,25640394,38.3282191
2017-08-10 00:00:00+00:00,155.32,160,154.63,159.9,39081017,37.1121684
2017-08-11 00:00:00+00:00,157.48,158.5728,156.07,156.6,25943187,37.62827891
2017-08-14 00:00:00+00:00,159.85,160.21,158.75,159.32,21754810,38.19456683
2017-08-15 00:00:00+00:00,161.6,162.195,160.14,160.66,27936774,38.61271191
2017-08-16 00:00:00+00:00,160.95,162.51,160.15,161.94,27321761,38.45740088
2017-08-17 00:00:00+00:00,157.86,160.71,157.84,160.52,26925694,37.71907613
2017-08-18 00:00:00+00:00,157.5,159.5,156.72,157.86,27012525,37.63305771
2017-08-21 00:00:00+00:00,157.21,157.89,155.1101,157.5,26145653,37.5637651
2017-08-22 00:00:00+00:00,159.78,160,158.02,158.23,21297812,38.17784102
2017-08-23 00:00:00+00:00,159.98,160.47,158.88,159.07,19198189,38.22562903
2017-08-24 00:00:00+00:00,159.27,160.74,158.55,160.43,19029621,38.0559816
2017-08-25 00:00:00+00:00,159.86,160.56,159.27,159.65,25015218,38.19695623
2017-08-28 00:00:00+00:00,161.47,162,159.93,160.14,25279674,38.5816497
2017-08-29 00:00:00+00:00,162.91,163.12,160,160.1,29307862,38.92572337
2017-08-30 00:00:00+00:00,163.35,163.89,162.61,163.8,26973946,39.030857
2017-08-31 00:00:00+00:00,164,164.52,163.48,163.64,26412439,39.18616803
2017-09-01 00:00:00+00:00,164.05,164.94,163.63,164.8,16508568,39.19811503
2017-09-05 00:00:00+00:00,162.08,164.25,160.56,163.75,29317054,38.72740313
2017-09-06 00:00:00+00:00,161.91,162.99,160.52,162.71,21179047,38.68678333
2017-09-07 00:00:00+00:00,161.26,162.24,160.36,162.09,21722995,38.53147229
2017-09-08 00:00:00+00:00,158.63,161.15,158.53,160.86,28183159,37.90305997
2017-09-11 00:00:00+00:00,161.5,162.05,159.89,160.5,31028926,38.58881791
2017-09-12 00:00:00+00:00,160.86,163.96,158.77,162.61,71139119,38.43589627
2017-09-13 00:00:00+00:00,159.65,159.96,157.91,159.87,44393752,38.14677882
2017-09-14 00:00:00+00:00,158.28,159.4,158.09,158.99,23073646,37.81943095
2017-09-15 00:00:00+00:00,159.88,160.97,158,158.47,48203642,38.20173503
2017-09-18 00:00:00+00:00,158.67,160.5,157.995,160.11,27939718,37.91261757
2017-09-19 00:00:00+00:00,158.73,159.77,158.44,159.51,20347352,37.92695397
2017-09-20 00:00:00+00:00,156.07,158.26,153.83,157.9,51693239,37.29137344
2017-09-21 00:00:00+00:00,153.39,155.8,152.75,155.8,36643382,36.65101411
2017-09-22 00:00:00+00:00,151.89,152.27,150.56,152.02,46114424,36.29260404
2017-09-25 00:00:00+00:00,150.55,151.83,149.16,149.99,43922334,35.97242437
2017-09-26 00:00:00+00:00,153.14,153.92,151.69,151.78,35470985,36.5912791
2017-09-27 00:00:00+00:00,154.23,154.7189,153.54,153.8,24959552,36.85172375
2017-09-28 00:00:00+00:00,153.28,154.28,152.7,153.89,21896592,36.6247307
2017-09-29 00:00:00+00:00,154.12,154.13,152,153.21,25856530,36.82544034
2017-10-02 00:00:00+00:00,153.81,154.45,152.72,154.26,18524860,36.75136893
2017-10-03 00:00:00+00:00,154.48,155.09,153.91,154.01,16146388,36.91145876
